# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon May 23 11:19:13 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,sy_dist
36,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,,15.000000,,,2383.60000,7.50000,Mass,,,0,,,0.02,
37,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,,55.000000,,,1589.15000,5.00000,Mass,,1250,0,,,0.02,64.3080000
39,2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,406.00000000,,,,591.16084,1.86000,Msini,0.330000,,0,29564.00,0.20,0.48,396.3320000
41,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,1,Imaging,2009,7336.50000000,,10.310,0.920,6657.48000,20.95000,Mass,0.260000,2075,0,2300.00,0.12,0.08,
42,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,,230.000000,,,3972.87500,12.50000,Mass,,,0,4045.00,,0.60,69.5737000
45,30 Ari B b,30 Ari B,1,4,1,Radial Velocity,2009,335.10001000,0.990000,,,4392.41060,13.82000,Msini,0.290000,,0,6331.00,1.41,1.93,44.6570000
46,4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,269.30000000,0.870000,,,2256.50000,7.10000,Msini,0.432000,,0,4415.00,18.11,1.23,73.4603000
47,42 Dra b,42 Dra,1,2,1,Radial Velocity,2008,479.10000000,1.190000,,,1233.13000,3.88000,Msini,0.380000,,0,4200.00,22.03,0.98,90.6545000
50,47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,1078.00000000,2.100000,,,804.08000,2.53000,Msini,0.032000,,0,5872.00,1.21,1.06,13.7967000
55,47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,2391.00000000,3.600000,,,171.62100,0.54000,Msini,0.098000,,0,5872.00,1.21,1.06,13.7967000
56,47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,14002.00000000,11.600000,,,521.22000,1.64000,Msini,0.160000,,0,5872.00,1.21,1.06,13.7967000
59,51 Eri b,51 Eri,1,3,1,Imaging,2015,,13.200000,,,635.66000,2.00000,Mass,,700,0,,,1.75,29.7575000
64,51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,4.23078500,0.052700,,,150.00900,0.47200,Msini,0.013000,,0,5758.00,1.18,1.03,15.4614000
75,55 Cnc b,55 Cnc,1,2,5,Radial Velocity,1996,14.65160000,0.113400,,,255.40000,0.80360,Msini,0.000000,,0,5172.00,0.94,0.91,12.5855000
78,55 Cnc c,55 Cnc,1,2,5,Radial Velocity,2004,44.39890000,0.237300,,,51.20000,0.16110,Msini,0.030000,,0,5172.00,0.94,0.91,12.5855000
87,55 Cnc d,55 Cnc,1,2,5,Radial Velocity,2002,5574.20000000,5.957000,,,991.60000,3.12000,Msini,0.130000,,0,5172.00,0.94,0.91,12.5855000
108,55 Cnc e,55 Cnc,1,2,5,Radial Velocity,2004,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,Mass,0.050000,,0,5172.00,0.94,0.91,12.5855000
112,55 Cnc f,55 Cnc,1,2,5,Radial Velocity,2007,259.88000000,0.770800,,,47.80000,0.15030,Msini,0.080000,,0,5172.00,0.94,0.91,12.5855000
117,6 Lyn b,6 Lyn,1,1,1,Radial Velocity,2008,934.30000000,2.110000,,,638.83830,2.01000,Msini,0.073000,,0,4938.00,5.20,1.44,54.6599000
121,61 Vir b,61 Vir,1,1,3,Radial Velocity,2009,4.21500000,0.050201,,,5.10000,0.01600,Msini,0.120000,,0,5577.00,0.96,0.94,8.5033200
122,61 Vir c,61 Vir,1,1,3,Radial Velocity,2009,38.02100000,0.217500,,,18.20000,0.05700,Msini,0.140000,,0,5577.00,0.96,0.94,8.5033200
124,61 Vir d,61 Vir,1,1,3,Radial Velocity,2009,123.01000000,0.476000,,,22.90000,0.07200,Msini,0.350000,,0,5577.00,0.96,0.94,8.5033200
126,7 CMa b,7 CMa,1,1,2,Radial Velocity,2011,735.10000000,1.758000,,,587.98550,1.85000,Msin(i)/sin(i),0.060000,,0,4826.00,4.87,1.34,19.8101000
128,7 CMa c,7 CMa,1,1,2,Radial Velocity,2019,996.00000000,2.153000,,,276.51210,0.87000,Msin(i)/sin(i),0.080000,,0,4826.00,4.87,1.34,19.8101000
129,70 Vir b,70 Vir,1,1,1,Radial Velocity,1996,116.68800000,0.481000,,,2357.02728,7.41600,Msini,0.398800,,0,5495.00,1.89,1.09,17.9011000
135,75 Cet b,75 Cet,1,2,1,Radial Velocity,2012,691.90000000,2.100000,,,953.49000,3.00000,Msini,0.117000,,0,4846.00,10.50,2.49,82.9613000
137,8 UMi b,8 UMi,1,1,1,Radial Velocity,2015,93.40000000,0.490000,,,416.35730,1.31000,Msini,0.060000,,0,4847.00,10.30,1.44,162.5520000
139,81 Cet b,81 Cet,1,1,1,Radial Velocity,2008,952.70000000,2.500000,,,1684.40000,5.30000,Msini,0.206000,,0,4785.00,11.00,2.40,101.2600000
140,91 Aqr b,91 Aqr,1,3,1,Radial Velocity,2013,181.40000000,0.700000,,,1017.00000,3.20000,Msini,0.027000,,0,4665.00,11.00,1.40,44.0304000
141,AB Aur b,AB Aur,1,1,1,Imaging,2022,,93.900000,,,2860.45566,9.00000,Mass,0.400000,,0,9770.00,,2.40,162.1270000
142,AB Pic b,AB Pic,1,1,1,Imaging,2005,,260.000000,,,4290.50000,13.50000,Mass,,,0,,,,50.0475000
148,AU Mic b,AU Mic,1,1,2,Transit,2020,8.46299910,0.064500,,,20.12000,0.06330,Mass,0.186000,,1,,,0.50,9.7221000
150,AU Mic c,AU Mic,1,1,2,Transit,2021,18.85899100,0.110100,,,9.60000,0.03020,Mass,,,0,,,0.50,9.7221000
153,BD+03 2562 b,BD+03 2562,1,1,1,Radial Velocity,2017,481.90000000,1.300000,,,2034.11200,6.40000,Msini,0.200000,,0,4095.00,32.35,1.14,1070.6300000
155,BD+14 4559 b,BD+14 4559,1,1,1,Radial Velocity,2009,268.94000000,0.780000,,,330.54320,1.04000,Msini,0.290000,,0,4864.00,0.86,0.49,49.3520000
156,BD+15 2375 b,BD+15 2375,1,1,1,Radial Velocity,2016,153.22000000,0.576000,,,337.21763,1.06100,Msini,0.001000,,0,4649.00,8.95,1.08,768.0450000
157,BD+15 2940 b,BD+15 2940,1,1,1,Radial Velocity,2013,137.48000000,0.539000,,,352.78000,1.11000,Msini,0.260000,,0,4796.00,14.70,1.10,426.4200000
158,BD+20 2457 b,BD+20 2457,1,1,2,Radial Velocity,2009,379.63000000,1.050000,,,17668.16970,55.59000,Msini,0.150000,,0,4259.00,71.02,10.83,1539.7100000
160,BD+20 2457 c,BD+20 2457,1,1,2,Radial Velocity,2009,621.99000000,2.010000,,,3963.17000,12.47000,Msini,0.180000,,0,4137.00,49.00,2.80,1539.7100000
161,BD+20 274 b,BD+20 274,1,1,1,Radial Velocity,2012,578.20000000,1.300000,,,1334.88600,4.20000,Msini,0.210000,,0,4296.00,17.30,0.80,1322.5100000
164,BD+20 594 b,BD+20 594,1,1,1,Transit,2016,41.68550000,,2.578,0.230,22.24810,0.07000,Mass,0.000000,,0,5766.00,1.08,1.67,179.4610000
165,BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,307.88000000,0.830000,,,432.24663,1.36000,Msini,0.120000,,0,5004.00,,0.81,53.6220000
166,BD+48 738 b,BD+48 738,1,1,1,Radial Velocity,2011,392.60000000,1.000000,,,289.22530,0.91000,Msini,0.200000,,0,4414.00,11.00,0.74,871.4930000
167,BD+48 740 b,BD+48 740,1,1,1,Radial Velocity,2018,733.00000000,1.700000,,,540.31100,1.70000,Msini,0.760000,,0,4534.00,10.33,1.09,666.5890000
168,BD+49 828 b,BD+49 828,1,1,1,Radial Velocity,2015,2590.00000000,4.200000,,,508.50000,1.60000,Msini,0.350000,,0,4943.00,7.60,1.52,442.0420000
169,BD+55 362 b,BD+55 362,1,1,1,Radial Velocity,2021,265.59000000,0.780000,,,228.83645,0.72000,Msini,0.270000,,0,5012.00,,0.91,52.5697000
170,BD+60 1417 b,BD+60 1417,1,1,1,Imaging,2021,,1662.000000,14.684,1.310,4767.42610,15.00000,Mass,,1303,0,4993.00,0.80,1.00,44.9543000
171,BD+63 1405 b,BD+63 1405,1,1,1,Radial Velocity,2021,1198.48000000,2.060000,,,1258.60049,3.96000,Msini,0.880000,,0,5000.00,,0.82,38.0473000
172,BD-00 4475 b,BD-00 4475,1,1,1,Radial Velocity,2021,723.20000000,1.480000,,,7961.60160,25.05000,Msini,0.390000,,0,5040.00,,0.81,42.6402000
173,BD-06 1339 b,BD-06 1339,1,1,2,Radial Velocity,2013,3.87280000,0.042800,,,8.50000,0.02700,Msini,0.000000,,0,4324.00,,0.70,20.2695000
174,BD-06 1339 c,BD-06 1339,1,1,2,Radial Velocity,2013,125.94000000,0.435000,,,53.00000,0.17000,Msini,0.310000,,0,4324.00,,0.70,20.2695000
176,BD-08 2823 b,BD-08 2823,1,1,2,Radial Velocity,2009,5.60000000,0.060000,,,12.71320,0.04000,Msini,0.150000,,0,4816.00,0.71,0.50,41.3342000
177,BD-08 2823 c,BD-08 2823,1,1,2,Radial Velocity,2009,237.60000000,0.680000,,,104.00000,0.33000,Msini,0.190000,,0,4746.00,,0.74,41.3342000
180,BD-10 3166 b,BD-10 3166,1,1,1,Radial Velocity,2000,3.48777000,0.040000,,,187.51970,0.59000,Msini,0.020000,,0,5393.00,0.91,1.47,84.4069000
183,BD-11 4672 b,BD-11 4672,1,1,2,Radial Velocity,2014,1634.00000000,2.360000,,,206.58950,0.65000,Msini,0.050000,,0,4550.00,0.64,0.65,27.1665000
184,BD-11 4672 c,BD-11 4672,1,1,2,Radial Velocity,2020,74.20000000,0.300000,,,15.37000,0.04836,Msini,0.400000,,0,4550.00,0.64,0.65,27.1665000
186,BD-13 2130 b,BD-13 2130,1,1,1,Radial Velocity,2007,714.29999000,1.660000,,,3108.37740,9.78000,Msini,0.210000,,0,4545.00,19.17,2.12,925.2140000
188,BD-17 63 b,BD-17 63,1,1,1,Radial Velocity,2008,655.60000000,1.340000,,,1620.90000,5.10000,Msini,0.540000,,0,4714.00,0.69,0.74,34.4603000
189,CD Cet b,CD Cet,1,1,1,Radial Velocity,2020,2.29070000,0.018500,,,3.95000,0.01243,Msini,,464,0,3130.00,0.17,0.16,8.6071500
190,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,1,Imaging,2011,10037.50000000,2.600000,,,3337.10000,10.50000,Mass,,370,0,580.50,,0.02,
191,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Imaging,2021,8040000.00000000,200.000000,20.849,1.860,2479.06157,7.80000,Mass,,1800,0,2320.00,0.24,0.01,
192,CHXR 73 b,CHXR 73,1,1,1,Imaging,2006,,210.000000,,,3994.48600,12.56900,Mass,,,0,,,0.35,190.3740000
193,CI Tau b,CI Tau,1,1,1,Radial Velocity,2019,8.98910000,,,,3686.82800,11.60000,Mass,0.250000,,0,,,0.90,157.9980000
194,COCONUTS-2 b,COCONUTS-2 A,1,1,1,Imaging,2021,402000000.00000000,7506.000000,12.442,1.110,2002.31896,6.30000,Mass,,434,0,3406.00,0.39,0.37,10.8864000
195,CT Cha b,CT Cha,1,1,1,Imaging,2007,,440.000000,24.660,2.200,5403.00000,17.00000,Mass,,2600,0,,,,190.7200000
199,CoRoT-1 b,CoRoT-1,1,1,1,Transit,2008,1.50895570,,16.700,1.490,327.35000,1.03000,Mass,0.000000,1898,0,5950.00,1.11,0.95,787.9090000
203,CoRoT-10 b,CoRoT-10,1,1,1,Transit,2010,13.24060000,0.105500,10.870,0.970,874.00000,2.75000,Mass,0.530000,600,0,5075.00,0.79,0.89,338.3860000
207,CoRoT-11 b,CoRoT-11,1,1,1,Transit,2010,2.99433000,0.043600,16.030,1.430,740.51000,2.33000,Mass,0.000000,1657,0,6440.00,1.37,1.27,655.0370000
209,CoRoT-12 b,CoRoT-12,1,1,1,Transit,2010,2.82804200,0.040160,16.140,1.440,291.43800,0.91700,Mass,0.070000,1442,0,5675.00,1.12,1.08,1126.3700000
216,CoRoT-13 b,CoRoT-13,1,1,1,Transit,2010,4.03519000,0.051000,9.920,0.885,415.70400,1.30800,Mass,0.000000,1700,0,5945.00,1.01,1.09,1148.9300000
220,CoRoT-14 b,CoRoT-14,1,1,1,Transit,2010,1.51214000,0.027000,12.220,1.090,2415.40000,7.60000,Mass,0.000000,1952,0,6035.00,1.21,1.13,1744.6000000
222,CoRoT-16 b,CoRoT-16,1,1,1,Transit,2011,5.35227000,0.061800,13.110,1.170,170.03200,0.53500,Mass,0.330000,,0,5650.00,1.19,1.10,732.4090000
223,CoRoT-17 b,CoRoT-17,1,1,1,Transit,2011,3.76810000,0.046100,11.430,1.020,772.29000,2.43000,Mass,0.000000,1626,0,5740.00,1.59,1.04,1176.1200000
229,CoRoT-18 b,CoRoT-18,1,1,1,Transit,2011,1.90006930,0.029500,14.680,1.310,1102.82000,3.47000,Mass,0.080000,1550,0,5440.00,1.00,0.95,764.8890000
233,CoRoT-19 b,CoRoT-19,1,1,1,Transit,2011,3.89713000,0.051800,14.460,1.290,352.78000,1.11000,Mass,0.047000,2000,0,6090.00,1.65,1.21,790.6630000
240,CoRoT-2 b,CoRoT-2,1,2,1,Transit,2008,1.74299350,0.027980,16.432,1.466,1102.82000,3.47000,Mass,0.014300,,1,5625.00,0.91,0.96,213.2830000
248,CoRoT-20 b,CoRoT-20,1,1,2,Transit,2011,9.24285000,0.090000,,,1366.66900,4.30000,Mass,0.590000,,0,,,1.14,844.0610000
249,CoRoT-20 c,CoRoT-20,1,1,2,Radial Velocity,2018,1675.00000000,2.900000,,,5403.11000,17.00000,Msini,0.600000,,0,,,1.14,844.0610000
250,CoRoT-21 b,CoRoT-21,1,1,1,Transit,2012,2.72474000,0.041700,14.572,1.300,718.29580,2.26000,Mass,0.000000,,0,6200.00,1.95,1.29,
252,CoRoT-22 b,CoRoT-22,1,1,1,Transit,2014,9.75598000,0.092000,4.880,0.435,12.20000,0.03800,Mass,0.077000,885,0,5939.00,1.14,1.10,627.1580000
255,CoRoT-23 b,CoRoT-23,1,1,1,Transit,2011,3.63130000,0.048000,11.770,1.050,889.90000,2.80000,Mass,0.160000,1660,0,5900.00,1.61,1.14,1060.9700000
256,CoRoT-24 b,CoRoT-24,1,1,2,Transit,2014,5.11340000,0.056000,3.700,0.330,5.70000,0.01800,Mass,0.000000,1070,0,4950.00,0.86,0.91,591.5550000
257,CoRoT-24 c,CoRoT-24,1,1,2,Transit,2014,11.75900000,0.098000,5.000,0.440,28.00000,0.08800,Mass,0.000000,850,0,4950.00,0.86,0.91,591.5550000
258,CoRoT-25 b,CoRoT-25,1,1,1,Transit,2013,4.86069000,0.057800,12.110,1.080,85.81000,0.27000,Mass,0.000000,1330,0,6040.00,1.19,1.09,1103.4800000
261,CoRoT-26 b,CoRoT-26,1,1,1,Transit,2013,4.20474000,0.052600,14.120,1.260,165.26000,0.52000,Mass,0.000000,1600,0,5590.00,1.79,1.09,1045.1800000
262,CoRoT-27 b,CoRoT-27,1,1,1,Transit,2014,3.57532000,0.047600,11.287,1.007,3302.11000,10.39000,Mass,0.065000,1500,0,5900.00,1.08,1.05,1010.2800000
265,CoRoT-28 b,CoRoT-28,1,1,1,Transit,2015,5.20851000,0.060300,10.705,0.955,153.82972,0.48400,Mass,0.047000,,0,5150.00,1.78,1.01,766.1830000
267,CoRoT-29 b,CoRoT-29,1,1,1,Transit,2015,2.85057000,0.038600,10.088,0.900,270.15550,0.85000,Mass,0.082000,,0,5260.00,0.90,0.97,806.5070000
271,CoRoT-3 b,CoRoT-3,1,1,1,Transit,2008,4.25680000,,11.320,1.010,6883.91000,21.66000,Mass,0.000000,,0,6740.00,1.56,1.37,768.7710000
274,CoRoT-30 b,CoRoT-30,1,1,1,Transit,2020,9.06005000,0.084400,11.310,1.009,921.70700,2.90000,Mass,0.007000,,0,5650.00,0.91,0.98,1032.2300000
275,CoRoT-31 b,CoRoT-31,1,1,1,Transit,2020,4.62941000,0.058600,16.365,1.460,266.97720,0.84000,Mass,0.020000,,0,5700.00,2.15,1.25,2005.7600000
277,CoRoT-4 b,CoRoT-4,1,1,1,Transit,2008,9.20205000,0.090000,13.340,1.190,228.83000,0.72000,Mass,0.000000,1074,0,6190.00,1.17,1.16,726.4120000
282,CoRoT-5 b,CoRoT-5,1,1,1,Transit,2009,4.03789620,0.049470,15.558,1.388,148.42000,0.46700,Mass,0.090000,1438,0,6100.00,1.19,1.00,882.4720000
284,CoRoT-6 b,CoRoT-6,1,1,1,Transit,2009,8.88659300,0.085500,13.068,1.166,940.74000,2.96000,Mass,0.100000,1017,0,6090.00,1.02,1.05,645.2940000
288,CoRoT-7 b,CoRoT-7,1,1,2,Transit,2009,0.85359163,,1.681,0.150,4.07661,0.01283,Mass,0.000000,,0,5275.00,0.83,0.82,159.9060000
294,CoRoT-7 c,CoRoT-7,1,1,2,Radial Velocity,2009,3.69800000,0.046000,,,8.40000,0.02643,Mass,0.000000,,0,5256.00,0.86,0.90,159.9060000
295,CoRoT-8 b,CoRoT-8,1,1,1,Transit,2010,6.21229000,0.063000,6.390,0.570,69.92000,0.22000,Mass,0.000000,,0,5080.00,0.77,0.88,322.0370000
299,CoRoT-9 b,CoRoT-9,1,2,1,Transit,2009,95.27265600,0.402100,11.949,1.066,266.97720,0.84000,Mass,0.133000,420,0,5625.00,0.96,0.96,412.9800000
303,CoRoTID 223977153 b,CoRoTID 223977153,1,1,1,Transit,2017,6.71837000,0.071000,6.389,0.570,47.67450,0.15000,Mass,,938,0,5970.00,0.79,1.08,576.6830000
305,DE CVn b,DE CVn,1,2,1,Eclipse Timing Variations,2018,4098.10000000,5.750000,,,3823.27330,12.02930,Msin(i)/sin(i),0.000000,,0,,,0.51,30.5225000
306,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,1,Astrometry,2013,246.36000000,0.360000,,,9057.77000,28.50000,Mass,0.345000,,0,,,0.07,
307,DH Tau b,DH Tau,1,1,1,Imaging,2004,,330.000000,,,3496.00000,11.00000,Mass,,,0,,0.27,0.33,134.8460000
309,DMPP-1 b,DMPP-1,1,1,4,Radial Velocity,2019,18.57000000,0.146200,,,24.27000,0.07636,Msini,0.083000,877,0,6196.00,1.26,1.21,62.5388000
310,DMPP-1 c,DMPP-1,1,1,4,Radial Velocity,2019,6.58400000,0.073300,,,9.60000,0.03020,Msini,0.057000,1239,0,6196.00,1.26,1.21,62.5388000
311,DMPP-1 d,DMPP-1,1,1,4,Radial Velocity,2019,2.88200000,0.042200,,,3.35000,0.01054,Msini,0.070000,1632,0,6196.00,1.26,1.21,62.5388000
312,DMPP-1 e,DMPP-1,1,1,4,Radial Velocity,2019,5.51600000,0.065100,,,4.13000,0.01299,Msini,0.070000,1314,0,6196.00,1.26,1.21,62.5388000
313,DMPP-2 b,DMPP-2,1,1,1,Radial Velocity,2019,5.20720000,0.066400,,,138.89171,0.43700,Msini,0.078000,1000,0,6500.00,1.78,1.44,137.9400000
315,DMPP-3 A b,DMPP-3 A,1,2,1,Radial Velocity,2019,6.67320000,0.066200,,,2.58000,0.00812,Msini,0.140000,854,0,5138.00,0.91,0.87,45.2300000
317,DP Leo b,DP Leo,1,2,1,Eclipse Timing Variations,2009,10220.00000000,8.190000,,,1922.79000,6.05000,Msini,0.390000,,0,,,0.69,305.6840000
319,DS Tuc A b,DS Tuc A,1,2,1,Transit,2019,8.13826800,,5.700,0.509,,,,0.000000,850,0,5428.00,0.96,1.01,44.0622000
321,EPIC 201170410.02,EPIC 201170410,1,1,1,Transit,2020,6.79870000,0.034900,1.047,0.093,,,,0.000000,,0,3648.00,0.28,0.29,
322,EPIC 201238110 b,EPIC 201238110,1,1,1,Transit,2019,28.16560000,,1.870,0.167,,,,,,0,,,0.41,159.2590000
324,EPIC 201427007 b,EPIC 201427007,1,1,1,Transit,2021,0.72091000,,1.500,0.134,,,,,,0,5633.00,0.94,,706.3910000
325,EPIC 201497682 b,EPIC 201497682,1,1,1,Transit,2019,2.13174000,,0.692,0.062,,,,,,0,,,0.78,253.0260000
327,EPIC 201595106 b,EPIC 201595106,1,1,1,Transit,2021,0.87721400,,1.300,0.116,,,,,,0,5820.00,0.93,,232.1000000
329,EPIC 201615463 c,K2-166,1,1,2,Transit,2019,3.80464000,,1.220,0.109,,,,,,0,,,1.07,476.8820000
330,EPIC 201754305 d,K2-16,1,1,3,Transit,2019,2.71578000,,1.030,0.092,,,,,,0,,,0.67,334.9670000
331,EPIC 201757695.02,EPIC 201757695,1,1,1,Transit,2020,2.04780000,0.029600,0.908,0.081,,,,0.000000,,0,4520.00,0.66,0.73,
333,EPIC 201833600 c,K2-50,1,1,2,Transit,2019,3.96151000,,1.000,0.089,,,,,,0,,,0.61,257.4430000
336,EPIC 201841433 b,EPIC 201841433,1,1,1,Transit,2019,4.16980000,0.035000,1.040,0.093,,,,,,0,5053.00,0.63,0.80,436.4880000
339,EPIC 205950854 c,K2-168,1,1,2,Transit,2019,8.05072200,,1.310,0.117,,,,,961,0,5502.70,0.83,0.88,243.9350000
340,EPIC 206024342 b,EPIC 206024342,1,1,3,Transit,2019,4.50756000,,1.700,0.152,,,,,,0,,,0.93,369.8880000
343,EPIC 206024342 c,EPIC 206024342,1,1,3,Transit,2021,0.91172400,,1.400,0.125,,,,,,0,5724.00,1.10,,369.8880000
347,EPIC 206024342 d,EPIC 206024342,1,1,3,Transit,2021,14.64753100,,2.600,0.232,,,,,,0,5724.00,1.10,,369.8880000
349,EPIC 206032309 b,EPIC 206032309,1,1,1,Transit,2019,2.87814000,,1.010,0.090,,,,,,0,,,0.22,161.3650000
352,EPIC 206042996 b,EPIC 206042996,1,1,2,Transit,2019,5.29860000,,1.700,0.152,,,,,,0,4114.00,0.50,,451.7690000
353,EPIC 206042996 c,EPIC 206042996,1,1,2,Transit,2021,0.35488400,,1.200,0.107,,,,,,0,4114.00,0.50,,451.7690000
357,EPIC 206215704 b,EPIC 206215704,1,1,1,Transit,2019,2.25543600,,1.000,0.089,,,,,,0,3297.00,0.25,,109.8880000
